Operator,n,Median Runtime Ratio DepQBF,Median Runtime Ratio CAQE,Median Δ Line Coverage,Median Δ Branch Coverage,Activated Mechanism
Tautology Insertion,48,0.9898748269014612,0.9992584271578041,0.0333806225486057,0.0301795684321675,Tautology preprocessing
Pure Literal (auto),19,0.9678090641495888,1.0022522018404614,-0.0166903112743028,-0.0301795684321675,Pure literal elimination
Pure Literal (positive),13,0.9762239400611334,1.0026614135783094,-0.0166903112743028,-0.0301795684321675,Pure literal elimination
Pure Literal (negative),13,0.9800817064867716,0.999006837207664,-0.0166903112743028,-0.0301795684321746,Pure literal elimination
Universal Reduction,48,0.9879729236157806,1.0045149128378656,0.0333806225486057,0.0301795684321675,Universal reduction / quantifier propagation
Blocked Clause (Standard),48,0.9880524445618621,1.0049206179723296,0.0166903112743028,0.0150897842160802,Blocked clause addition / BCE
Blocked Clause (Negated),48,0.9919024717212773,1.0017937642000931,0.07510640073436994,0.0905387052965167,Blocked clause addition / BCE
Blocked Clause (Variant 2),48,0.9887459945929951,1.0037208643240227,0.0,0.0,Blocked clause addition / BCE
